Quote #,ID #,Last,First,Quote,,,,,,,,,,,,,TRUE
1216,1aadcc,Lenon,John,"Being honest may not always get you many friends, but it'll always get you the right ones.",,,,,,,,,,,,,
998,179yss,Poverb,Greek,A society grows great when old men plant trees whose shade they know they shall never sit in.,,,,,,,,,,,,,
986,1g4hgo,Tzu,Lao,If you are depressed you are living in the past and if you are anxious you are living in the future. If you are at peace you are living in the present.,,,,,,,,,,,,,
959,14s4s6,Green,John,"One day, you are 17 and you are planning for someday. And then quietly, without you ever really noticing, someday is today. And then someday is yesterday. And this is your life.",,,,,,,,,,,,,
939,1689ot,Twain,Mark,Do not complain about growing old. It is a privilege denied to many.,,,,,,,,,,,,,
907,1209ix,Twain,Mark,The man who doesn't read good books has no advantage over the man who can't read them.,,,,,,,,,,,,,
886,18oywc,Lincoln ,Abraham,Have I not destroyed my enemy when I have made friends with him.,,,,,,,,,,,,,
864,ykzoi,Silverstein ,Shell,"There are no happy endings. Endings are the saddest part, So just give me a happy middle And a very happy start.",,,,,,,,,,,,,
849,15x5zs,Lincoln ,Abraham,Teach the children so it will not be necessary to teach the adults.,,,,,,,,,,,,,
837,1k5n1l,Hemingway,Ernest,There is nothing noble in being superior to your fellow man; true nobility is being superior to your former self.,,,,,,,,,,,,,
843,12zb9l,Tesla,Nikola,"One must be sane to think clearly, but one can think deeply and be quite insane.",,,,,,,,,,,,,
810,1av1ss,Gates,Bill,I choose a lazy person to do a hard job. Because a lazy person will find an easy way to do it.,,,,,,,,,,,,,
805,1giy8e,Edison,Thomas,I have friends in overalls whose friendship I would not swap for the favor of the kings of the world.,,,,,,,,,,,,,
800,199kt1,Twain,Mark,"If you don't read the newspaper, you're uninformed. If you read the newspaper, you're misinformed. ",,,,,,,,,,,,,
809,11w5bw,Jordon,Michael,I have missed more than 9000 shots in my career. I have lost almost 300 games.  I haave failed over and over and over again in my life.,,,,,,,,,,,,,
795,1crhee,King,Stephan,"Amateurs sit and wait for inspiration, the rest of us just get up and go to work.",,,,,,,,,,,,,
